	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20	sample21	sample22	sample23	sample24	sample25	sample26	sample27	sample28	sample29	sample30	sample31	sample32	sample33	sample34	sample35	sample36	sample37	sample38	sample39	sample40	sample41	sample42	sample43	sample44	sample45	sample46	sample47	sample48	sample49	sample50	sample51	sample52	sample53	sample54	sample55	sample56	sample57	sample58	sample59	sample60	sample61	sample62	sample63	sample64	sample65	sample66	sample67	sample68	sample69	sample70	sample71	sample72	sample73	sample74	sample75	sample76	sample77	sample78	sample79	sample80	sample81	sample82	sample83	sample84	sample85	sample86	sample87	sample88	sample89	sample90	sample91	sample92	sample93	sample94	sample95	sample96	sample97	sample98	sample99	sample100	sample101	sample102	sample103	sample104	sample105	sample106	sample107	sample108	sample109	sample110	sample111	sample112	sample113	sample114	sample115	sample116	sample117	sample118	sample119	sample120	sample121	sample122	sample123	sample124	sample125	sample126	sample127	sample128	sample129	sample130	sample131	sample132	sample133	sample134	sample135	sample136	sample137	sample138	sample139	sample140	sample141	sample142	sample143	sample144	sample145	sample146	sample147	sample148	sample149	sample150	sample151	sample152	sample153	sample154	sample155	sample156	sample157	sample158	sample159	sample160	sample161	sample162	sample163	sample164	sample165	sample166	sample167	sample168	sample169	sample170	sample171	sample172	sample173	sample174	sample175	sample176	sample177	sample178	sample179	sample180	sample181	sample182	sample183	sample184	sample185	sample186	sample187	sample188	sample189
OTU456	0	0	0	0	0	0	0	0	0	0	0	0	397	0	0	0	0	0	0	0	0	0	5	0	0	44	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	993	0	0	0	0	0	0	45	0	0	0	0	0	0	0	312	0	171	0	82	0	0	0	0	0	0	0	0	26	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	711	0	331	0	0	0	0	0	32	0	0	17	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	34	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	198	0	0	0	0	59
OTU475	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU480	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	1707	0	0	223	0	0	0	0	0	0	0	0	0	0	5795	0	0	0	0	0	0	0	0	0	0	0	0	0	726	0	0	0	0	0	0	0	1041	0	0	0	0	0	0	0	0	0	0	0	10	167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	506	0	0	0	0	0	0	0	0	0	0	0	752	0	0	0	0	0	0	0	71	0	0	0	0	0	382	0	0	0	0	0	48	4328	0	42	0	0	0	27	0	3	0	0	54	0	0	0	0	0	0	305	0	0	0	0	0	0	0	0	278	0	0	0	0	0	0	3	0	0	0	537	0	0	60	0	0	0	11	0	0	0	0	0	0	10	0	0	0	0	0	0	2	2	6	0	0	0	0	0	0
OTU505	0	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	184	0	0	28	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU513	34	0	16	40	38	1250	30	16	33	176	3	15	0	0	4	0	6	15	5	30	7	13	0	86	24	0	43	0	17	12	0	6	0	0	23	7	0	7	10	4	1033	0	6	7	23	0	116	45	5	16	0	4	611	14	59	3	10	5	0	5	3	151	0	10	10	90	86	5	0	15	8	4	6	0	63	6	0	0	22	3	0	0	9	8	7	0	10	9	0	3	0	0	4	4	0	0	0	4	81	4	0	13	0	8	11	0	0	29	0	0	3	42	0	2	0	10	0	3	0	0	0	5	6	0	24	0	0	0	0	10	11	2	0	0	5	0	0	0	3	0	0	14	0	0	48	0	2	243	0	0	4	4	14	0	0	0	5	0	0	0	8	0	14	0	3	8	0	41	4	17	4	54	0	9	72	9	4	16	31	12	69	197	3	0	0	0	4	34	26
OTU527	0	23	0	0	0	0	0	0	0	0	0	0	0	7	38	0	0	0	0	608	0	0	0	0	0	0	0	34	56	76	0	0	24	0	0	0	0	46	0	0	54	0	8	31	0	0	0	0	0	0	0	0	0	0	14	0	0	7	34	7	0	0	0	29	72	0	5	0	0	0	0	48	0	0	0	0	0	0	0	48	8	0	15	0	0	0	0	0	14	17	0	19	0	0	5	28	0	0	0	59	168	8	5	0	0	0	0	0	0	0	33	0	0	0	0	0	36	0	0	0	8	0	0	0	0	0	0	15	0	11	0	0	4	0	0	0	0	0	0	11	0	0	0	7	0	0	129	0	19	0	0	0	0	0	0	0	6	19	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	42	0	0	38	0	54	0	0	206	0	0	0	8	0	0	0
OTU543	0	0	15	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	823	427	0	121	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	33	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	33	0	0	0	0	0	0	0
OTU547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4024	0	0	2019	0	0	0	0	0	0	0
OTU548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	243	0	0	0	0	0	0	0	0	0	0	0	5	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU570	393	66	238	141	350	1663	1088	20	41	8	21	52	103	5	52	6	25	26	36	81	59	72	57	214	180	50	31	24	50	55	164	57	41	21	12	80	33	82	28	267	0	180	26	28	113	21	180	120	41	283	4	29	2347	100	185	48	16	69	43	0	28	462	18	110	46	21	167	33	179	64	26	27	20	163	33	246	24	0	140	8	12	0	21	24	110	39	35	7	8	4	6	11	16	11	33	0	19	4	100	191	3	15	16	22	77	15	3	85	244	10	19	160	93	20	0	6	10	10	4	47	74	54	96	35	275	0	17	27	12	48	44	58	21	50	0	10	0	7	41	18	63	53	0	38	235	13	95	314	53	27	100	7	0	43	15	60	72	33	6	9	117	214	17	9	56	29	4	13	12	54	24	54	15	148	29	13	71	48	23	28	199	17	37	55	31	8	96	314	149
OTU579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	617	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	250	4	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0
OTU586	0	0	0	0	0	7	0	3	0	10	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	2	0	0	0	11	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	2	0	13	7	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	2701	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186	0	0	0	0
OTU587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	309	0	0	0	0	0	0	0	0	0	0	372	0	0	0	6	0	0	0	0	0	71	0	0	0	0	0	0	0	1661	0	0	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU592	78	24	0	2	0	0	0	25	0	0	0	0	0	0	0	18	0	0	2957	4	0	0	12	0	0	0	0	0	0	86	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	39	0	6	66	0	0	15	0	0	0	6	0	0	0	0	27	4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	0	10	0	0	0	74	0	0	0	0	0	0	0	0	0	0	182	195	0	0	0	0	0	0	2	0	0	4	0	0	0	0	0	72	0	0	0	8	0	0	0	161	0	0	0	4	0	0	0	0	0	0	0	0	0	11	0	103	0	0	0	0	0	0	17	5
OTU596	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	163	0	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	563	0	0	0	0	0	0	0	0	0	0	0	0	0	271	0	0	0	0	0	35	0	0	47	0	0	0	0	0	4	0	0	0	0	0	0	0	0	22	801	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	13	0	0	0	0	0	31	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	90	0	0	62	0	75	0	0	0	0	0	0	2	12	0	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	182	0	148	0	0	0	0	0	0	0
OTU603	199	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	7	6	0	0	0	0	0	0	0	7	0	0	14	0	8	0	0	20	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	12	0	8	0	176	0	0	32	32	9	0	0	0	0	0	0	18	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	61	50	55	0	0	0	0	0	0	0	0	0	149	0	0	0	0	0	0	0	22	0	48	0	0	63	47	0	0	0	0	13	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	11	11	0	0	0	45	0	0	0	82	42	12	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	51	0	0	0
OTU612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	440	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU615	9	0	0	7	12	34	0	3	0	24	0	0	0	0	0	0	0	0	0	0	0	4	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	174	23	0	0	6	0	0	0	0	5	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	6	8	0	0	5	0	0	0	0	4	8	0	1420	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	7	7	0	0	0	0	0	0	0	0	0	0	0	9	52	0	0	6	0	0	8	0	0	0	0	0	0	16	0
OTU616	0	50	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	22	0	17	13	15	3	0	0	10	0	6	0	9	0	53	68	0	0	0	2	0	0	0	0	0	53	11	0	55	0	6	0	0	0	0	0	0	12	0	0	0	19	17	4	0	0	56	58	0	0	0	0	0	8	9	13	0	0	0	0	0	0	14	57	0	3	0	0	0	6	0	0	3	0	14	0	0	0	4	0	0	0	31	8	0	13	0	0	0	0	0	20	193	25	0	0	0	0	0	17	0	0	4	4	9	0	0	0	5	0	8	0	40	0	0	0	14	14	0	0	0	0	9	0	121	0	0	0	0	4	0	33	0	0	0	8	0	0	25	15	0	6	10	0	0	0	51	16	0	0	0	25	72	0	0	40	84	0	13	0	0	145	0	0	55	0	0	17	10	0	0	0
OTU620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	137	0	0	0	0	21	0	0	0	0	0	0	0	346	0	0	0	0	0	201	119	0	0	0	0	0	52	177	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU653	0	451	0	0	0	0	0	0	0	0	0	0	247	0	0	0	0	0	0	0	23	0	0	0	0	5	0	0	0	0	0	0	0	182	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	282	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	145	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	41	0	0	0	0	0	2	13	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	227	0	75	0	0	0	0	0	0	0	41	69	0	5	0	0	0	0	0	0	8	0	57	0	0	0	0	0	0	8	573	0	0	0	0	0	0	24	0	787	0	0	0	0	0	0	0	0	0	70	0
OTU655	15	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	14	0	0	21	0	49	0	0	0	0	0	0	0	0	117	0	0	0	0	0	0	78	0	0	0	0	0	0	8	0	0	0	0	0	47	0	24	0	0	0	178	0	29	0	0	0	0	0	0	20	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	2	0	0	23	0	0	0	0	0	0	15	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	37	0	0	0	0	0	0	0	0	0	109	0	24	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0
OTU661	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	18	12	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	10	40	0	0	6	0	0	7	0	0	0	0	0	9	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	101	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	8	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	9	0	0	0	0	0	7	0	0	0	0	0	116	4	6	0	7	0	0	0	4	0	0	104	0	0	0	0	0	0	12	16	0	0	0	0	0	0	0	0	7	0	0	0	0	10	0
OTU663	0	0	0	21	0	6	0	0	7	0	657	0	0	0	0	0	0	0	0	0	0	31	16	14	0	0	7	0	0	0	0	0	0	0	0	2	0	0	4	0	0	1104	0	3	4	5	7	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	187	0	0	4	44	0	0	7	0	0	49	5	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	136	49	0	4	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205	0	0	0	3	0	0	0	0	0	0	0	5	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0
OTU669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	472	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	216	0	0	0	0	0	0	0	0	0	0	0	0	507
OTU700	0	0	0	0	0	49	0	0	0	24	0	26	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	946	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	2	43	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	8	7	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
OTU747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU753	0	112	0	0	0	0	0	0	0	0	0	0	0	170	0	0	2	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	13	140	0	0	0	0	0	0	286	0	0	0	0	0	0	302	0	0	0	0	0	0	0	365	0	53	0	66	0	0	0	0	0	0	0	0	100	91	0	0	0	0	0	10	0	0	0	0	0	0	0	170	0	0	0	0	0	0	9	0	0	0	0	0	0	52	0	0	3	0	0	0	0	0	0	0	0	0	0	37	0	74	0	0	0	0	107	0	68	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	127	0	6	0	0	0	91	0	0	0	0	0	30	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0
OTU757	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU769	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	7	0	0	0	43	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	9	0	0	0	0	0	13	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	4	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	60	2	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	3	0	0	0
OTU770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	16	0	0	0	0	4	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	46	0	0	35	0	79	0	0	0	0	0	0	22	113	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	19	0	12	0	31	0	0	0	0	0	0	0	0	0	40	0	23	0	0	0	0	0	0	0	0	2	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0	31	0	0	0	0	0	0	0	0	0	14	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	2534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
